"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"4","4","Soul's Attendant","ltc","Near Mint","English","foil","","2024-03-01 16:51:00.197000","520","False","False",""
"4","4","Spell Pierce","2x2","Near Mint","English","","","2024-01-14 23:41:46.173000","350","False","False",""
"4","4","Spellstutter Sprite","lrw","Near Mint","English","","","2024-01-14 23:47:42.663000","89","False","False",""
"2","2","Spinneret Sliver","tsp","Near Mint","English","","","2024-04-13 03:28:01.507000","219","False","False",""
"4","4","Spire Golem","dd2","Near Mint","English","","","2024-02-22 02:00:28.123000","16","False","False",""
"4","4","Springleaf Drum","brr","Near Mint","English","","","2024-02-25 20:03:44.687000","55","False","False",""
"4","4","Squadron Hawk","m11","Near Mint","English","","","2024-02-19 02:20:00.740000","33","False","False",""
"4","4","Steel Sabotage","mbs","Near Mint","English","","","2024-01-14 23:42:11.950000","33","False","False",""
"3","3","Stonehorn Dignitary","m12","Near Mint","English","","","2024-02-22 00:16:20.907000","37","False","False",""
"4","4","Street Wraith","dmr","Near Mint","English","","","2024-01-14 23:22:50.367000","311","False","False",""
"1","1","Sulfurous Mire","khm","Near Mint","English","","","2024-02-25 19:49:22.387000","270","False","False",""
"4","4","Sunscape Familiar","pls","Near Mint","English","","","2024-02-25 19:18:45.553000","17","False","False",""
"20","20","Swamp","2xm","Near Mint","English","","","2024-04-05 22:33:46.753000","377","False","False",""
"4","4","Swirling Sandstorm","jud","Near Mint","English","","","2024-01-14 05:30:45.397000","102","False","False",""
"1","1","Tanglepool Bridge","mh2","Near Mint","English","","","2024-02-22 00:57:43.990000","257","False","False",""
"4","4","Temur Battle Rage","frf","Near Mint","English","","","2024-02-22 12:35:25.623000","116","False","False",""
"4","4","Terramorphic Expanse","brc","Near Mint","English","","","2024-02-27 18:04:01.437000","210","False","False",""
"4","4","The Modern Age // Vector Glider","neo","Near Mint","English","foil","","2024-03-01 16:18:05.927000","66","False","False",""
"4","4","Thermo-Alchemist","emn","Near Mint","Portuguese","","","2024-02-22 12:38:04.630000","147","False","False",""
"4","4","Thirsting Roots","one","Near Mint","English","","","2024-02-25 20:04:25.063000","185","False","False",""
"4","4","Thorn of the Black Rose","cn2","Near Mint","English","","","2024-02-25 19:28:13.837000","48","False","False",""
"4","4","Thought Scour","2x2","Near Mint","English","foil","","2024-03-01 16:49:17.680000","65","False","False",""
"4","4","Thoughtcast","brc","Near Mint","English","","","2024-01-29 19:47:31.283000","99","False","False",""
"4","4","Thraben Inspector","prcq","Near Mint","English","foil","","2024-01-19 18:55:05.187000","3","False","False",""
"3","3","Thriving Grove","jmp","Near Mint","English","","","2024-04-13 03:35:51.457000","34","False","False",""
"1","1","Thriving Heath","jmp","Near Mint","English","","","2024-04-13 03:35:36.800000","35","False","False",""
"4","4","Thriving Isle","jmp","Near Mint","English","","","2024-02-22 00:59:36.393000","36","False","False",""
"4","4","Tithing Blade // Consuming Sepulcher","lci","Near Mint","English","","","2024-03-01 16:36:58.467000","128","False","False",""
"4","4","Tolarian Terror","dmu","Near Mint","English","","","2024-03-01 16:48:49.897000","72","False","False",""
"4","4","Tormod's Crypt","dmr","Near Mint","English","","","2024-01-14 23:32:09.313000","235","False","False",""
"4","4","Trailblazer's Torch","clb","Near Mint","English","","","2024-02-21 12:19:35.877000","340","False","False",""
"4","4","Tree of Tales","sld","Near Mint","English","foil","","2024-04-05 22:41:29.713000","304","False","False",""
"4","4","Twin-Silk Spider","mh1","Near Mint","Portuguese","","","2024-02-22 00:27:34.260000","188","False","False",""
"4","4","Ulamog's Crusher","mm2","Near Mint","English","","","2024-02-22 01:59:46.117000","7","False","False",""
"4","4","Underworld Rage-Hound","thb","Near Mint","Portuguese","","","2024-02-22 12:37:42.423000","163","False","False",""
"1","1","Unwind","dom","Near Mint","Portuguese","","","2024-02-22 03:04:50.670000","72","False","False",""
"4","4","Urza's Mine","5ed","Near Mint","English","","","2024-02-22 01:15:30.630000","427","False","False",""
"4","4","Urza's Power Plant","5ed","Near Mint","English","","","2024-02-22 01:15:45.720000","428","False","False",""
"4","4","Urza's Tower","5ed","Near Mint","English","","","2024-02-22 01:16:01.713000","429","False","False",""
"4","4","Vault of Whispers","sld","Near Mint","English","foil","","2024-04-05 22:41:36.000000","302","False","False",""
"2","2","Vault of Whispers","brc","Near Mint","English","","","2024-03-15 17:27:06.223000","211","False","False",""
"4","4","Vault Skirge","pdci","Near Mint","English","foil","","2024-01-29 19:37:42.550000","71","False","False",""
"4","4","Vines of Vastwood","mm2","Near Mint","English","","","2024-04-13 03:28:40.430000","168","False","False",""
"4","4","Virulent Sliver","fut","Near Mint","English","","","2024-04-13 03:29:12.053000","155","False","False",""
"4","4","Virulent Wound","mbs","Near Mint","English","","","2024-01-14 23:25:20.797000","57","False","False",""
"4","4","Vision Charm","vis","Near Mint","English","","","2024-02-25 20:04:46.947000","49","False","False",""
"4","4","Vivisurgeon's Insight","one","Near Mint","Portuguese","","","2024-01-14 23:48:37.357000","77","False","False",""
"4","4","Volatile Fjord","khm","Near Mint","Portuguese","","","2024-02-22 00:59:57.950000","273","False","False",""
"4","4","Voldaren Epicure","vow","Near Mint","Portuguese","","","2024-01-14 05:24:17.927000","182","False","False",""
"4","4","Weather the Storm","sta","Near Mint","English","","","2024-02-25 20:04:56.763000","58","False","False",""
"4","4","Winding Way","mh1","Near Mint","English","","","2024-04-13 03:35:01.457000","193","False","False",""
"4","4","Wind-Scarred Crag","c19","Near Mint","Portuguese","","","2024-04-05 22:34:23.913000","285","False","False","0.00"
"4","4","Woodland Chasm","khm","Near Mint","English","","","2024-02-25 19:46:31.287000","274","False","False",""
"4","4","Wrenn's Resolve","mom","Near Mint","English","","","2024-01-14 05:28:02.067000","173","False","False",""
"4","4","Wretched Gryff","emn","Near Mint","Portuguese","","","2024-02-22 02:02:55.353000","12","False","False",""
